NPI,PROVIDER_NAME,PRIMARY_SPECIALTY,DISEASE,SECONDARY_SPECIALTY,TELEHEALTH,FACILITY_NAME,STATE,ZIP,COUNTY_FIPS,COUNTY,TOT_BENES,TOT_SRVCS,BENE_AVG_RISK_SCRE,TOTAL_UTILIZATION_EXACT,AVG_UTILIZATION_PERCENTILE,TELEHEALTH_FLAG,AREA_PROVIDER_COUNT,AREA_TOTAL_BENEFICIARIES,DEMAND_PROXY,AREA_TOTAL_SERVICES,BENEFICIARIES_PER_PROVIDER,DEMAND_PER_PROVIDER,REQUIRED_PROVIDERS,PROVIDER_SHORTAGE,ADEQUACY_SCORE,DEMAND_PRESSURE_SCORE,SERVICES_PER_BENEFICIARY,UTILIZATION_PRESSURE_SCORE,AREA_RISK_SCORE,RISK_SCORE,ACCESS_LEVEL,RECOMMENDED_ADDITIONAL_PROVIDERS,BENEFICIARY_SHARE_OF_AREA,SERVICE_SHARE_OF_AREA,PROVIDER_RISK_SCORE,UTILIZATION_INTENSITY_SCORE,CAPACITY_LOAD_INDEX
1800000016,MITCHELL THOMAS,Psychiatry,Mental Health Disorders,Behavioral Health,Yes,COMMUNITY MENTAL HEALTH CENTER - DAVISON,MI,48504,26049,Genesee County,9399,33628.9,2.7927,11.9,70.04,1,6,57727,57727.0,204147.1,9621.166666666666,9621.166666666666,9,3,66.67,93.33,3.5779,100.0,31.05,57.99,LOW GAP,3,0.162818,0.164729,83.1,78.57,1566.5
1800000017,WALKER AMELIA,Psychiatry,Mental Health Disorders,Child & Adolescent Psychiatry,Yes,BEHAVIORAL HEALTH PARTNERS - BURTON,MI,48567,26049,Genesee County,9649,25500.7,1.4916,13.2,69.57,1,6,57727,57727.0,204147.1,9621.166666666666,9621.166666666666,9,3,66.67,93.33,2.6428,100.0,31.05,57.99,LOW GAP,3,0.167149,0.124913,8.35,90.4,1608.17
1800000018,EDWARDS HANNAH,Psychiatry,Mental Health Disorders,Behavioral Health,Yes,COMMUNITY MENTAL HEALTH CENTER - FLINT,MI,48528,26049,Genesee County,6515,17079.9,2.0939,11.7,48.84,1,6,57727,57727.0,204147.1,9621.166666666666,9621.166666666666,9,3,66.67,93.33,2.6216,100.0,31.05,57.99,LOW GAP,3,0.112859,0.083665,38.5,76.32,1085.83
1800000019,MORGAN NADIA,Psychiatry,Mental Health Disorders,Child & Adolescent Psychiatry,Yes,COMMUNITY MENTAL HEALTH CENTER - BURTON,MI,48565,26049,Genesee County,12239,37908.9,1.8781,10.3,39.88,1,6,57727,57727.0,204147.1,9621.166666666666,9621.166666666666,9,3,66.67,93.33,3.0974,100.0,31.05,57.99,LOW GAP,3,0.212015,0.185694,23.85,64.08,2039.83
1800000020,WHITE WILLIAM,Psychiatry,Mental Health Disorders,Behavioral Health,No,PSYCHIATRY CARE ASSOCIATES - BURTON,MI,48531,26049,Genesee County,8206,36775.4,2.0024,9.0,37.64,0,6,57727,57727.0,204147.1,9621.166666666666,9621.166666666666,9,3,66.67,93.33,4.4815,100.0,31.05,57.99,LOW GAP,3,0.142152,0.180142,31.7,52.6,1367.67
1800000021,THOMPSON EMILY,Pulmonary,Respiratory Disease,Critical Care Medicine,Yes,LUNG HEALTH SPECIALISTS - FLINT,MI,48565,26049,Genesee County,4064,18529.5,2.6285,7.7,72.26,1,7,39925,39925.0,159944.2,5703.571428571428,5703.571428571428,7,0,100.0,32.0,4.5594,96.0,66.75,32.41,ADEQUATE,0,0.101791,0.11585,74.65,42.3,580.57
1800000022,CLARK DANIEL,Pulmonary,Respiratory Disease,Internal Medicine,No,LUNG HEALTH SPECIALISTS - BURTON,MI,48523,26049,Genesee County,8061,33143.6,2.6844,10.9,65.34,0,7,39925,39925.0,159944.2,5703.571428571428,5703.571428571428,7,0,100.0,32.0,4.1116,96.0,66.75,32.41,ADEQUATE,0,0.201904,0.20722,77.4,69.27,1151.57
1800000023,MITCHELL KARAN,Pulmonary,Respiratory Disease,Sleep Medicine,Yes,PULMONARY & SLEEP CENTER - DAVISON,MI,48530,26049,Genesee County,4727,19922.3,2.5869,9.6,71.28,1,7,39925,39925.0,159944.2,5703.571428571428,5703.571428571428,7,0,100.0,32.0,4.2146,96.0,66.75,32.41,ADEQUATE,0,0.118397,0.124558,72.05,57.88,675.29
1800000024,WALKER RAHUL,Pulmonary,Respiratory Disease,Critical Care Medicine,No,LUNG HEALTH SPECIALISTS - BURTON,MI,48584,26049,Genesee County,6986,31737.3,2.0788,12.1,30.49,0,7,39925,39925.0,159944.2,5703.571428571428,5703.571428571428,7,0,100.0,32.0,4.543,96.0,66.75,32.41,ADEQUATE,0,0.174978,0.198427,37.35,80.23,998.0
1800000025,EDWARDS SOPHIA,Pulmonary,Respiratory Disease,Sleep Medicine,Yes,LUNG HEALTH SPECIALISTS - FLINT,MI,48564,26049,Genesee County,5238,25003.8,2.4788,12.3,55.07,1,7,39925,39925.0,159944.2,5703.571428571428,5703.571428571428,7,0,100.0,32.0,4.7735,96.0,66.75,32.41,ADEQUATE,0,0.131196,0.156328,65.35,82.12,748.29
1800000026,MORGAN FATIMA,Pulmonary,Respiratory Disease,Internal Medicine,Yes,PULMONARY & SLEEP CENTER - FLINT,MI,48570,26049,Genesee County,6242,19221.9,2.2131,10.9,55.49,1,7,39925,39925.0,159944.2,5703.571428571428,5703.571428571428,7,0,100.0,32.0,3.0794,96.0,66.75,32.41,ADEQUATE,0,0.156343,0.120179,47.75,69.27,891.71
1800000027,WHITE MAYA,Pulmonary,Respiratory Disease,Sleep Medicine,No,PULMONARY & SLEEP CENTER - FLINT,MI,48570,26049,Genesee County,4607,12385.8,2.946,12.6,86.23,0,7,39925,39925.0,159944.2,5703.571428571428,5703.571428571428,7,0,100.0,32.0,2.6885,96.0,66.75,32.41,ADEQUATE,0,0.115391,0.077438,89.4,85.0,658.14
1800000028,SANCHEZ MICHAEL,Rheumatology,Arthritis,Internal Medicine,Yes,ARTHRITIS CARE CENTER - DAVISON,MI,48587,26049,Genesee County,9345,35978.3,1.4963,13.0,59.87,1,6,57149,57149.0,196412.2,9524.833333333334,9524.833333333334,9,3,66.67,92.0,3.85,2.67,28.99,42.75,LOW GAP,3,0.16352,0.183178,8.55,88.8,1557.5
1800000029,BAKER VICTOR,Rheumatology,Arthritis,Geriatric Medicine,No,RHEUMATOLOGY ASSOCIATES - DAVISON,MI,48549,26049,Genesee County,10803,45141.4,2.5065,3.9,46.53,0,6,57149,57149.0,196412.2,9524.833333333334,9524.833333333334,9,3,66.67,92.0,4.1786,2.67,28.99,42.75,LOW GAP,3,0.189032,0.22983,67.35,8.4,1800.5
1800000030,LEE ANIKA,Rheumatology,Arthritis,Internal Medicine,Yes,ARTHRITIS CARE CENTER - FLINT,MI,48584,26049,Genesee County,9771,26826.1,2.2112,5.3,53.45,1,6,57149,57149.0,196412.2,9524.833333333334,9524.833333333334,9,3,66.67,92.0,2.7455,2.67,28.99,42.75,LOW GAP,3,0.170974,0.136581,47.55,21.45,1628.5
1800000031,THOMAS ISABEL,Rheumatology,Arthritis,Geriatric Medicine,Yes,MUSCULOSKELETAL HEALTH GROUP - BURTON,MI,48593,26049,Genesee County,11093,35891.7,2.2857,8.1,43.89,1,6,57149,57149.0,196412.2,9524.833333333334,9524.833333333334,9,3,66.67,92.0,3.2355,2.67,28.99,42.75,LOW GAP,3,0.194107,0.182737,52.7,45.75,1848.83
1800000032,CARTER NOAH,Rheumatology,Arthritis,Internal Medicine,No,ARTHRITIS CARE CENTER - FLINT,MI,48566,26049,Genesee County,10125,32297.4,1.9723,9.1,70.67,0,6,57149,57149.0,196412.2,9524.833333333334,9524.833333333334,9,3,66.67,92.0,3.1899,2.67,28.99,42.75,LOW GAP,3,0.177168,0.164437,30.15,53.65,1687.5
1800000033,MILLER ZOE,Rheumatology,Arthritis,Geriatric Medicine,Yes,MUSCULOSKELETAL HEALTH GROUP - BURTON,MI,48509,26049,Genesee County,6012,20277.3,2.1613,4.5,50.46,1,6,57149,57149.0,196412.2,9524.833333333334,9524.833333333334,9,3,66.67,92.0,3.3728,2.67,28.99,42.75,LOW GAP,3,0.105199,0.103238,43.55,13.9,1002.0
1800000034,JOHNSON DAVID,Cardiology,Heart Disease,Geriatric Medicine,Yes,HEARTCARE SPECIALISTS - OSHTEMO,MI,49004,26077,Kalamazoo County,4376,12903.4,2.348,3.9,80.66,1,5,25171,25171.0,88569.90000000001,5034.2,5034.2,4,0,100.0,13.33,2.9487,45.33,100.0,25.13,ADEQUATE,0,0.173851,0.145686,56.55,8.4,875.2
1800000035,SANCHEZ ELENA,Cardiology,Heart Disease,Internal Medicine,Yes,HEARTCARE SPECIALISTS - OSHTEMO,MI,49034,26077,Kalamazoo County,5810,20122.2,3.68,11.9,47.42,1,5,25171,25171.0,88569.90000000001,5034.2,5034.2,4,0,100.0,13.33,3.4634,45.33,100.0,25.13,ADEQUATE,0,0.230821,0.22719,99.45,78.57,1162.0
1800000036,BAKER LUCAS,Cardiology,Heart Disease,Geriatric Medicine,No,CARDIAC WELLNESS GROUP - PORTAGE,MI,49086,26077,Kalamazoo County,4803,17766.9,3.1262,9.2,52.7,0,5,25171,25171.0,88569.90000000001,5034.2,5034.2,4,0,100.0,13.33,3.6991,45.33,100.0,25.13,ADEQUATE,0,0.190815,0.200597,94.25,54.45,960.6
1800000037,LEE SARAH,Cardiology,Heart Disease,Cardiovascular Imaging,No,HEARTCARE SPECIALISTS - OSHTEMO,MI,49089,26077,Kalamazoo County,5600,25859.8,2.8405,11.9,35.61,0,5,25171,25171.0,88569.90000000001,5034.2,5034.2,4,0,100.0,13.33,4.6178,45.33,100.0,25.13,ADEQUATE,0,0.222478,0.291971,85.2,78.57,1120.0
1800000038,THOMAS AARON,Cardiology,Heart Disease,Internal Medicine,Yes,HEARTCARE SPECIALISTS - OSHTEMO,MI,49041,26077,Kalamazoo County,4582,11917.6,2.3989,6.5,47.88,1,5,25171,25171.0,88569.90000000001,5034.2,5034.2,4,0,100.0,13.33,2.601,45.33,100.0,25.13,ADEQUATE,0,0.182035,0.134556,59.7,31.42,916.4
1800000039,TAYLOR BENJAMIN,Endocrinology,Diabetes,Metabolic Medicine,Yes,DIABETES CARE CENTER - OSHTEMO,MI,49051,26077,Kalamazoo County,7063,30027.6,2.8656,4.7,98.0,1,5,31412,31412.0,121947.3,6282.4,6282.4,5,0,100.0,49.33,4.2514,6.67,78.11,25.05,ADEQUATE,0,0.22485,0.246234,86.5,15.9,1412.6
1800000040,BROWN JAMES,Endocrinology,Diabetes,Internal Medicine,Yes,ENDOCRINE SPECIALISTS GROUP - KALAMAZOO,MI,49053,26077,Kalamazoo County,7454,31625.7,2.4964,11.9,50.23,1,5,31412,31412.0,121947.3,6282.4,6282.4,5,0,100.0,49.33,4.2428,6.67,78.11,25.05,ADEQUATE,0,0.237298,0.259339,66.65,78.57,1490.8
1800000041,MARTIN OLIVIA,Endocrinology,Diabetes,Family Medicine,No,DIABETES CARE CENTER - OSHTEMO,MI,49068,26077,Kalamazoo County,7953,26597.1,2.6969,6.0,97.49,0,5,31412,31412.0,121947.3,6282.4,6282.4,5,0,100.0,49.33,3.3443,6.67,78.11,25.05,ADEQUATE,0,0.253183,0.218103,78.3,27.55,1590.6
1800000042,THOMPSON EMILY,Endocrinology,Diabetes,Internal Medicine,No,DIABETES CARE CENTER - PORTAGE,MI,49056,26077,Kalamazoo County,4752,14414.3,2.477,12.0,81.57,0,5,31412,31412.0,121947.3,6282.4,6282.4,5,0,100.0,49.33,3.0333,6.67,78.11,25.05,ADEQUATE,0,0.15128,0.118201,65.25,79.45,950.4
1800000043,CLARK DANIEL,Endocrinology,Diabetes,Family Medicine,No,ENDOCRINE SPECIALISTS GROUP - KALAMAZOO,MI,49026,26077,Kalamazoo County,4190,19282.6,2.6659,3.3,53.49,0,5,31412,31412.0,121947.3,6282.4,6282.4,5,0,100.0,49.33,4.6021,6.67,78.11,25.05,ADEQUATE,0,0.133389,0.158122,76.38,3.08,838.0
1800000044,CARTER GEORGE,Psychiatry,Mental Health Disorders,Addiction Medicine,Yes,COMMUNITY MENTAL HEALTH CENTER - PORTAGE,MI,49026,26077,Kalamazoo County,7359,18229.1,1.6868,12.5,45.1,1,4,35035,35035.0,125289.2,8758.75,8758.75,6,2,66.67,88.0,2.4771,97.33,0.0,51.6,LOW GAP,2,0.210047,0.145496,14.95,84.02,1839.75
1800000045,MILLER MICHAEL,Psychiatry,Mental Health Disorders,Addiction Medicine,No,COMMUNITY MENTAL HEALTH CENTER - OSHTEMO,MI,49033,26077,Kalamazoo County,9332,36944.4,2.6598,9.3,72.6,0,4,35035,35035.0,125289.2,8758.75,8758.75,6,2,66.67,88.0,3.9589,97.33,0.0,51.6,LOW GAP,2,0.266362,0.294873,76.05,55.35,2333.0
1800000046,TURNER VICTOR,Psychiatry,Mental Health Disorders,Child & Adolescent Psychiatry,No,BEHAVIORAL HEALTH PARTNERS - KALAMAZOO,MI,49019,26077,Kalamazoo County,8874,28795.5,1.1594,12.6,56.02,0,4,35035,35035.0,125289.2,8758.75,8758.75,6,2,66.67,88.0,3.2449,97.33,0.0,51.6,LOW GAP,2,0.25329,0.229832,2.55,85.0,2218.5
1800000047,DAVIS ANIKA,Psychiatry,Mental Health Disorders,Addiction Medicine,Yes,PSYCHIATRY CARE ASSOCIATES - KALAMAZOO,MI,49043,26077,Kalamazoo County,9470,41320.2,1.6534,9.3,52.41,1,4,35035,35035.0,125289.2,8758.75,8758.75,6,2,66.67,88.0,4.3633,97.33,0.0,51.6,LOW GAP,2,0.270301,0.329799,13.75,55.35,2367.5
1800000048,EVANS ELENA,Pulmonary,Respiratory Disease,Critical Care Medicine,Yes,PULMONARY & SLEEP CENTER - KALAMAZOO,MI,49067,26077,Kalamazoo County,4669,11367.7,2.5829,3.3,62.34,1,4,28262,28262.0,92252.2,7065.5,7065.5,5,1,80.0,66.67,2.4347,5.33,23.72,30.02,ADEQUATE,1,0.165204,0.123224,71.85,3.08,1167.25
1800000049,NELSON LUCAS,Pulmonary,Respiratory Disease,Sleep Medicine,Yes,RESPIRATORY CARE GROUP - KALAMAZOO,MI,49090,26077,Kalamazoo County,7541,19622.3,1.877,4.4,67.78,1,4,28262,28262.0,92252.2,7065.5,7065.5,5,1,80.0,66.67,2.6021,5.33,23.72,30.02,ADEQUATE,1,0.266825,0.212703,23.75,12.88,1885.25
1800000050,WILLIAMS SARAH,Pulmonary,Respiratory Disease,Sleep Medicine,Yes,RESPIRATORY CARE GROUP - KALAMAZOO,MI,49089,26077,Kalamazoo County,7607,29506.4,2.0679,9.8,54.85,1,4,28262,28262.0,92252.2,7065.5,7065.5,5,1,80.0,66.67,3.8788,5.33,23.72,30.02,ADEQUATE,1,0.26916,0.319845,36.5,59.9,1901.75
1800000051,GARCIA AARON,Pulmonary,Respiratory Disease,Internal Medicine,Yes,RESPIRATORY CARE GROUP - KALAMAZOO,MI,49020,26077,Kalamazoo County,8445,31755.8,1.6647,12.5,90.14,1,4,28262,28262.0,92252.2,7065.5,7065.5,5,1,80.0,66.67,3.7603,5.33,23.72,30.02,ADEQUATE,1,0.298811,0.344228,14.25,84.02,2111.25
1800000052,HARRIS CARLOS,Rheumatology,Arthritis,Internal Medicine,Yes,ARTHRITIS CARE CENTER - KALAMAZOO,MI,49047,26077,Kalamazoo County,7621,26935.0,2.3938,7.1,77.21,1,4,32314,32314.0,103095.3,8078.5,8078.5,6,2,66.67,77.33,3.5343,61.33,41.29,49.72,LOW GAP,2,0.235842,0.261263,59.32,37.05,1905.25
1800000053,RIVERA JULIA,Rheumatology,Arthritis,Internal Medicine,Yes,MUSCULOSKELETAL HEALTH GROUP - OSHTEMO,MI,49030,26077,Kalamazoo County,6424,25560.3,1.9066,12.2,57.85,1,4,32314,32314.0,103095.3,8078.5,8078.5,6,2,66.67,77.33,3.9789,61.33,41.29,49.72,LOW GAP,2,0.198799,0.247929,25.7,81.25,1606.0
1800000054,ADAMS PRIYA,Rheumatology,Arthritis,Internal Medicine,No,RHEUMATOLOGY ASSOCIATES - OSHTEMO,MI,49074,26077,Kalamazoo County,10496,28932.0,2.286,4.5,31.02,0,4,32314,32314.0,103095.3,8078.5,8078.5,6,2,66.67,77.33,2.7565,61.33,41.29,49.72,LOW GAP,2,0.324813,0.280634,52.75,13.9,2624.0
1800000055,JOHNSON DAVID,Rheumatology,Arthritis,Internal Medicine,Yes,ARTHRITIS CARE CENTER - KALAMAZOO,MI,49084,26077,Kalamazoo County,7773,21668.0,2.3715,11.7,73.9,1,4,32314,32314.0,103095.3,8078.5,8078.5,6,2,66.67,77.33,2.7876,61.33,41.29,49.72,LOW GAP,2,0.240546,0.210174,58.15,76.32,1943.25
1800000056,LEE ANIKA,Cardiology,Heart Disease,Geriatric Medicine,No,ADVANCED CARDIOLOGY CENTER - STERLING HEIGHTS,MI,48093,26099,Macomb County,6563,25887.3,2.3494,7.2,65.58,0,16,83666,83666.0,313702.4,5229.125,5229.125,14,0,100.0,20.0,3.9444,49.33,58.06,21.11,ADEQUATE,0,0.078443,0.082522,56.65,38.15,410.19
1800000057,THOMAS ISABEL,Cardiology,Heart Disease,Geriatric Medicine,Yes,CARDIAC WELLNESS GROUP - STERLING HEIGHTS,MI,48032,26099,Macomb County,3737,17305.9,2.4345,13.4,63.87,1,16,83666,83666.0,313702.4,5229.125,5229.125,14,0,100.0,20.0,4.631,49.33,58.06,21.11,ADEQUATE,0,0.044666,0.055167,62.2,91.75,233.56
1800000058,CARTER NOAH,Cardiology,Heart Disease,Internal Medicine,Yes,CARDIAC WELLNESS GROUP - STERLING HEIGHTS,MI,48024,26099,Macomb County,5101,20474.5,2.7047,9.4,47.84,1,16,83666,83666.0,313702.4,5229.125,5229.125,14,0,100.0,20.0,4.0138,49.33,58.06,21.11,ADEQUATE,0,0.060969,0.065267,78.7,56.2,318.81
1800000059,MILLER ZOE,Cardiology,Heart Disease,Geriatric Medicine,Yes,HEARTCARE SPECIALISTS - MOUNT CLEMENS,MI,48002,26099,Macomb County,4047,11444.6,1.706,6.8,49.92,1,16,83666,83666.0,313702.4,5229.125,5229.125,14,0,100.0,20.0,2.8279,49.33,58.06,21.11,ADEQUATE,0,0.048371,0.036482,15.85,34.12,252.94
1800000060,TURNER CARLOS,Cardiology,Heart Disease,Cardiovascular Imaging,No,HEARTCARE SPECIALISTS - STERLING HEIGHTS,MI,48085,26099,Macomb County,4343,12441.1,2.0707,9.1,32.27,0,16,83666,83666.0,313702.4,5229.125,5229.125,14,0,100.0,20.0,2.8646,49.33,58.06,21.11,ADEQUATE,0,0.051909,0.039659,36.68,53.65,271.44
1800000061,DAVIS JULIA,Cardiology,Heart Disease,Internal Medicine,Yes,ADVANCED CARDIOLOGY CENTER - WARREN,MI,48075,26099,Macomb County,5872,24727.6,2.417,6.1,50.69,1,16,83666,83666.0,313702.4,5229.125,5229.125,14,0,100.0,20.0,4.2111,49.33,58.06,21.11,ADEQUATE,0,0.070184,0.078825,61.1,28.38,367.0
1800000062,MOORE PRIYA,Cardiology,Heart Disease,Geriatric Medicine,Yes,HEARTCARE SPECIALISTS - MOUNT CLEMENS,MI,48042,26099,Macomb County,5690,26608.6,3.4212,3.4,66.03,1,16,83666,83666.0,313702.4,5229.125,5229.125,14,0,100.0,20.0,4.6764,49.33,58.06,21.11,ADEQUATE,0,0.068009,0.084821,98.2,3.98,355.62
1800000063,WATSON DAVID,Cardiology,Heart Disease,Cardiovascular Imaging,Yes,ADVANCED CARDIOLOGY CENTER - STERLING HEIGHTS,MI,48045,26099,Macomb County,3981,9630.1,2.4745,4.9,76.45,1,16,83666,83666.0,313702.4,5229.125,5229.125,14,0,100.0,20.0,2.419,49.33,58.06,21.11,ADEQUATE,0,0.047582,0.030698,65.05,17.95,248.81
1800000064,EVANS ELENA,Cardiology,Heart Disease,Internal Medicine,Yes,HEARTCARE SPECIALISTS - MOUNT CLEMENS,MI,48026,26099,Macomb County,6940,26926.2,2.6593,10.4,66.5,1,16,83666,83666.0,313702.4,5229.125,5229.125,14,0,100.0,20.0,3.8799,49.33,58.06,21.11,ADEQUATE,0,0.082949,0.085834,76.0,64.95,433.75
1800000065,NELSON LUCAS,Cardiology,Heart Disease,Geriatric Medicine,Yes,ADVANCED CARDIOLOGY CENTER - WARREN,MI,48037,26099,Macomb County,4637,18412.6,2.4969,12.8,92.07,1,16,83666,83666.0,313702.4,5229.125,5229.125,14,0,100.0,20.0,3.9708,49.33,58.06,21.11,ADEQUATE,0,0.055423,0.058694,66.7,87.05,289.81
1800000066,WILLIAMS SARAH,Cardiology,Heart Disease,Internal Medicine,Yes,HEARTCARE SPECIALISTS - MOUNT CLEMENS,MI,48034,26099,Macomb County,4473,15542.9,2.8697,9.6,65.37,1,16,83666,83666.0,313702.4,5229.125,5229.125,14,0,100.0,20.0,3.4748,49.33,58.06,21.11,ADEQUATE,0,0.053463,0.049547,86.7,57.88,279.56
